_id,Geographic Area Served,Asset Name,Type of Entity,Digital Equity Pillars,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,Description of Services,Website,Street Address
33,Hawaii,Kealakehe Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,http://kealakehe.k12.hi.us/,"74-5118 Kealakaa Street, Kailua-Kona, HI 96740"
34,Hawaii,Kealakehe High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://www.khswaveriders.org/,"74-5000 Puohulihuli Street, Kailua-Kona, HI 96740"
35,Hawaii,Kealakehe Intermediate,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://www.kishawks.org/,"74-5062 Onipaa Street, Kailua-Kona, HI 96740"
36,Hawaii,Kealakekua Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"81-6619 Mamalahoa Hwy, Kealakekua, HI 96750, United States"
37,Hawaii,Keaukaha Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.keaukahaelementary.com/,"240 Desha Avenue, Hilo, HI 96720"
38,Hawaii,Keonepoko Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://keonepokoelementary.org/,"15-890 Kahakai Boulevard, Pahoa, HI 96778"
39,Hawaii,Kohala Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://www.kohalaelementary.com/,"54-3609 Akoni Pule Highway, Kapaau, HI 96755"
40,Hawaii,Kohala High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://www.kohalahs.org/,"54-3611 Akoni Pule Highway, Kapaau, HI 96755"
41,Hawaii,Kohala Middle,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://www.kohalams.org/,"53-4155 Akoni Pule Highway, Kapaau, HI 96755"
42,Hawaii,Kona Pacific PCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://www.kppcs.org/,"79-7595 Mamamlahoa Highway, Kealakekua, HI 96750"
43,Hawaii,Konawaena Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://www.konawaenael.k12.hi.us/,"81-901 Onouli Road, Kealakekua, HI 96750"
44,Hawaii,Konawaena High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://www.konawaenahs.org/,"81-1043 Konawaena School Road, Kealakekua, HI 96750"
45,Hawaii,Konawaena Middle,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://konawaenamiddle.k12.hi.us/,"81-1045 Konawaena School Road, Kealakekua, HI 96750"
46,Hawaii,Kua O Ka La NCPCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,http://kuaokala.org/index.html,"345 Makalika St, Hilo, HI 96720"
47,Hawaii,Laupahoehoe Community PCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.lcpcs.org/,"35-2065 Old Mamalahoa Highway, Laupahoehoe, HI 96764"
48,Hawaii,Laupahoehoe Public and School Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"35-2065 Old Mamalahoa Hwy, Laupahoehoe, HI 96764, USA"
49,Hawaii,Mountain View Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://www.mveshawks.k12.hi.us/,"18-1235 Volcano Highway, Mountain View, HI 96771"
